Year,Month,GEPU_current,GEPU_ppp,Australia,Brazil,Canada,Chile,China,France,Germany,Greece,India,Ireland,Italy,Japan,Korea,Mexico,Pakistan,Russia,Spain,Singapore,UK,US,SCMP China,Mainland China
1995,4,,,,65.06704126,128.5614655,58.9806366,,92.98819451,78.15822591,,,16.7412681,,90.86946591,43.50450516,,,228.1947668,,,,65.99556422,202.8753233,
1995,5,,,,12.68998642,96.17797784,64.18070221,,91.0051826,57.67823731,,,21.42345918,,105.9065197,51.07299423,,,271.7930839,,,,67.30165512,146.0081017,
1995,6,,,,24.82884871,102.1671363,65.63619995,,61.66780936,79.87621379,,,22.25979691,,108.2379784,42.15624237,,,178.8963876,,,,75.82338534,93.39020761,
1995,7,,,,46.0429657,109.0884114,57.96390533,,60.2346684,58.48723912,,,13.14037163,,106.2565548,44.56906891,,,167.5427575,,,,81.65294273,35.71213557,
1995,8,,,,41.37702624,63.02977919,61.96572113,,59.16340075,81.35251672,,,11.77833422,,100.3550615,34.54370117,,,207.6034593,,,,55.88800948,57.52724101,
1995,9,,,,39.50910716,135.6432953,96.59937286,,122.8426315,86.26076435,,,32.66398173,,95.93843319,34.69182205,,,226.5756465,,,,70.3809161,52.94848791,
1995,10,,,,39.81483239,241.1322489,67.57488251,,133.4619076,75.79679802,,,30.1509702,,89.48722031,44.40037918,,,200.459411,,,,79.90552416,132.9518459,
1995,11,,,,74.45338203,240.9737962,90.69586182,,93.48212284,74.94922503,,,29.34144303,,83.18002028,56.08380127,,,186.3850736,,,,101.2001239,141.1959678,
1995,12,,,,61.93418372,191.7751203,128.8102417,,128.4617039,58.76146763,,,55.95766308,,87.68297324,55.08826065,,,231.3260571,,,,90.67060647,146.2725246,
1996,1,,,,39.87179209,212.9531464,76.61521912,,51.32093381,76.96334104,,,52.10874198,,96.27441766,90.64860535,200.4036547,,421.654463,,,,101.5782186,186.5976555,
1996,2,,,,14.63012214,107.9932074,75.2840271,,98.08697355,123.0071827,,,29.20485355,,100.0322091,65.51833344,121.8169629,,151.1040378,,,,82.02139499,109.978549,
1996,3,,,,67.86368775,202.9208561,92.32820129,,73.19598448,136.3991279,,,33.5673189,,96.69870625,55.35959244,174.6514667,,208.0931274,,,,76.63045532,128.7289901,
1996,4,,,,72.42979796,118.0784043,63.84078598,,83.35416623,69.27929219,,,34.50563263,,91.74867303,63.59253311,103.5821285,,261.9437015,,,,70.88105947,110.105545,
1996,5,,,,62.98391564,122.1422036,33.78978348,,53.38554416,127.6984257,,,12.50897134,,78.76743292,33.82215881,125.6151625,,173.5031033,,,,62.10961057,108.7658578,
1996,6,,,,70.79921343,118.0581705,58.97838593,,83.0648956,104.2719038,,,14.49579107,,80.58238998,35.19603348,94.2612446,,221.4238196,,,,82.24293663,58.94986212,
1996,7,,,,49.00287063,103.0493004,99.28533173,,81.57214514,100.2553238,,,29.18185307,,67.20195865,39.50112152,152.3137263,,229.800275,,,,69.69367209,47.18419891,
