date,country,year_week,close,open,high,low,adjusted_close,volume,index_name,ticker,currency,source,return_lcu,dlog_fx,return_usd
2021-04-23,Vietnam,2021-W16,1248.53,1243.58,1286.32,1216.15,1248.53,2839886200,VN-Index,VNINDEX,VND,vnstock,0.7896343758436712,-0.01733703194356471,0.806971407787236
2021-04-29,Vietnam,2021-W17,1239.39,1251.25,1251.25,1204.14,1239.39,2342179100,VN-Index,VNINDEX,VND,vnstock,-0.7347536190487656,0.021697151249173468,-0.7564507702979391
2021-05-07,Vietnam,2021-W18,1241.81,1222.08,1265.93,1212.56,1241.81,2705907000,VN-Index,VNINDEX,VND,vnstock,0.19506696496567189,0.03035098772404368,0.1647159772416282
2021-05-14,Vietnam,2021-W19,1266.36,1239.96,1273.49,1236.85,1266.36,3318514800,VN-Index,VNINDEX,VND,vnstock,1.9576650746088344,-0.0564076989768418,2.014072773585676
2021-05-21,Vietnam,2021-W20,1283.93,1272.55,1289.03,1249.02,1283.93,3245455700,VN-Index,VNINDEX,VND,vnstock,1.3779043158838078,0.0,1.3779043158838078
2021-05-28,Vietnam,2021-W21,1320.46,1287.5,1323.09,1287.36,1320.46,3291594100,VN-Index,VNINDEX,VND,vnstock,2.805447409232251,-0.04338394861973044,2.8488313578519815
2021-06-04,Vietnam,2021-W22,1374.05,1326.65,1374.05,1307.56,1374.05,3732696000,VN-Index,VNINDEX,VND,vnstock,3.978242249992344,0.004340183590450608,3.9739020664018936
2021-06-11,Vietnam,2021-W23,1351.74,1374.59,1375.74,1312.08,1351.74,3804755200,VN-Index,VNINDEX,VND,vnstock,-1.63699318049768,-0.03485686933466662,-1.6021363111630134
2021-06-18,Vietnam,2021-W24,1377.77,1352.73,1377.77,1337.49,1377.77,3586313500,VN-Index,VNINDEX,VND,vnstock,1.9073598662578013,0.060994207441441066,1.8463656588163602
2021-06-25,Vietnam,2021-W25,1390.12,1373.59,1390.12,1367.85,1390.12,3091435300,VN-Index,VNINDEX,VND,vnstock,0.8923824254003867,-0.07387610878547801,0.9662585341858647
2021-07-02,Vietnam,2021-W26,1420.27,1397.96,1424.28,1390.56,1420.27,3099648200,VN-Index,VNINDEX,VND,vnstock,2.1456920032209075,-0.017382235399237517,2.163074238620145
2021-07-09,Vietnam,2021-W27,1347.14,1411.13,1421.52,1334.88,1347.14,3486002100,VN-Index,VNINDEX,VND,vnstock,-5.28631676867307,-0.03476598183728474,-5.251550786835786
